Image Name,Invoice Number,Invoice Number Source,Invoice Date,Invoice Date Source,Transaction Amount,Transaction Amount Source,Company Name,Company Name Source,Accuracy,,,,,
i1.jpg,0,Donut,31 jan 2023 11:11:15 (UTC),Donut,37.74,Donut,Apple Distribution International Ltd.,AWS,100%,,,,,
i2.jpg,#1024,Donut,#1024,Donut,$875.00 ,Donut,Really Great Company,AWS,100%,,,,,
i3.jpg,us-001,Donut, 11/02/2019,Donut,$154.06 ,Donut,East Repair Inc.,AWS,100%,,,,,
i4.png,GALT-009,AWS,31-Aug-13,Donut,"$11,812.50 ",Donut,Fountainhead A+E,AWS,100%,,,,,
i5.png,15,Donut,5-Jan-04,Donut,15,Donut,THE OFFICE SOLUTIONS ORGANISATION,AWS,trasnaction wrong,,,,,
i6.jpg,1,Donut,"jul 13th, 2021",Donut,"usd 8,480.00",Donut,Saldo Apps,AWS,100%,,,,,
i7.jpg,1277.47,Donut,monday ondi national park,Donut,1277.47,Donut,Sanjay Gandhi National Park,AWS,100%,,,,,
i8.jpg,gb369728108,Donut,8-Mar-25,Donut,33.92,Donut,amazon,DocTR,transaction wrong,,,,,
i9.jpg,1234,Donut,30/11/2030,Donut,"$2,420 ",Donut,RIMBERIO,AWS,100%,,,,,
i10.jpg,,Tesseract,3/16/2015,Donut,$70.00 ,Donut,,AWS,100%,,,,,
i11.jpg,inv-2028-001,Donut,15-Sep-28,Donut,"$17,620.00 ",Donut,Customer's Name: Global Imports Inc.,AWS,wrong company,,,,,
i12.jpg,#con-2028-001,Donut,21-Sep-28,Donut,"$28,600 ",Donut,: X Construction,AWS,100%,,,,,
i13.jpg,inv-2028-003,Donut,20-Oct-28,Donut,$273.00 ,Donut,ABC,AWS,transaction wrong,,,,,
i14.png,12,Donut, 5/25/24,Donut,70,Donut,Caneiro Group,AWS,wrong company,,,,,
i15.png,1234,Donut,16-May-24,Donut,610,Donut,DREAMWISE REALITY,AWS,100%,,,,,
i16.jpg,20281,Donut,02.03.2017,Donut,"425,42",Donut,"SpiceImporter Ltd., Kaisaniemienkatu 6A, 00100",AWS,100%,,,,,
i17.jpg,101492,Donut,6/22/2007,Donut,"$8,402.99 ",Donut,AUDIT NUMBER,AWS,wrong company,,,,,
i18.png,#000023,Donut,january 27 2020,Donut,$567.89 ,Donut,ATTN:,AWS,wrong transaction,,,,,
i19.jpg,IN1077891010K9,Tesseract,20-Sep-23,Donut,invoice,Donut,NORTON LIFE,AWS,wrong transaction,,,,,
i1.pdf,0,Donut,31-Jan-23,Donut,37.74,Donut,Apple Distribution International Ltd.,AWS,100%,,,,,
i2.pdf,#1024,Donut,#1024,Donut,$875.00 ,Donut,Really Great Company,AWS,100%,,,,,
i3.pdf,us-001,Donut,11/2/2019,Donut,$154.06 ,Donut,East Repair Inc.,AWS,100%,,,,,
i4.pdf,gall-009,Donut,31-Aug-13,Donut,"$11,812.50 ",Donut,Fountainhead A+E,AWS,almost 100% GALL instead of GALT because of pixelation,,,,,
i5.pdf,15,Donut,15/112171,Donut,15,Donut,THE OFFICE SOLUTIONS ORGANISATION,AWS,wrong transaction,,,,,
i6.pdf,1,Donut,"jul 13th, 2021",Donut,"usd 8,480.00",Donut,Saldo Apps,AWS,100%,,,,,
